Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric",189.800000,-87.400000,90.000000,top
"C2","100nF","C_1206_3216Metric",175.400000,-87.400000,90.000000,top
"D1","LED","LED_1206_3216Metric",159.500000,-104.100000,90.000000,top
"D2","D_Schottky","D_SMA",99.000000,-63.000000,270.000000,top
"D3","D_Schottky","D_SMA",100.100000,-123.100000,180.000000,top
"D4","D_Schottky","D_SMA",109.300000,-123.100000,270.000000,top
"D5","LED","LED_1206_3216Metric",105.500000,-115.500000,90.000000,top
"D6","LED","LED_1206_3216Metric",111.000000,-115.500000,90.000000,top
"F1_1","clip","fuse_pad_littelfuse_01110505Z",98.000000,-52.900000,0.000000,top
"F1_2","clip","fuse_pad_littelfuse_01110505Z",115.200000,-52.900000,180.000000,top
"F2_1","clip","fuse_pad_littelfuse_01110505Z",125.000000,-102.750000,270.000000,top
"F2_2","clip","fuse_pad_littelfuse_01110505Z",125.000000,-120.000000,90.000000,top
"F3_1","clip","fuse_pad_littelfuse_01110505Z",135.000000,-102.750000,270.000000,top
"F3_2","clip","fuse_pad_littelfuse_01110505Z",135.000000,-120.000000,90.000000,top
"HS1","Heatsink_Pad","Heatsink_Fischer_FK24413D2PAK_26x13mm",89.000000,-105.500000,90.000000,top
"Q1","AO3400A","SOT-23",154.100000,-111.700000,0.000000,top
"Q2","TIP42C","TO-252-2",94.100000,-105.500000,180.000000,top
"Q3","BC857","SOT-23",116.000000,-100.000000,180.000000,top
"Q4","PMBT2222","SOT-23-3",91.000000,-86.000000,0.000000,top
"R1","2K","R_1206_3216Metric",179.700000,-123.600000,0.000000,top
"R2","4,7K","R_1206_3216Metric",163.700000,-123.100000,0.000000,top
"R3","1K","R_1206_3216Metric",165.600000,-104.100000,90.000000,top
"R4","4,7K","R_1206_3216Metric",200.600000,-87.400000,90.000000,top
"R5","4,7K","R_1206_3216Metric",195.600000,-87.400000,90.000000,top
"R6","150","R_1206_3216Metric",163.600000,-116.300000,180.000000,top
"R7","3,3K","R_1206_3216Metric",163.337500,-110.700000,180.000000,top
"R8","6,8k","R_1206_3216Metric",146.900000,-111.800000,180.000000,top
"R9","1k","R_1206_3216Metric",96.000000,-73.000000,0.000000,top
"R11","560","R_1206_3216Metric",99.000000,-115.500000,90.000000,top
"R13","560","R_1206_3216Metric",82.500000,-86.000000,90.000000,top
"R14","47","R_1206_3216Metric",117.500000,-123.500000,0.000000,top
"R15","47","R_1206_3216Metric",117.500000,-119.500000,0.000000,top
"R16","47","R_1206_3216Metric",117.500000,-115.500000,0.000000,top
"R17","47","R_1206_3216Metric",117.500000,-111.000000,0.000000,top
"R18","1k","R_1206_3216Metric",105.500000,-108.000000,270.000000,top
"R21","1k","R_1206_3216Metric",111.000000,-108.000000,270.000000,top
"SW1","Button1","SW_TL3305AF260QG",148.800000,-104.070000,90.000000,top
"SW2","Button2","SW_TL3305AF260QG",148.800000,-119.400000,90.000000,top
"SW4","SW_DIP_x04","SW_DIP_SPSTx04_Slide_9.78x12.34mm_W8.61mm_P2.54mm",195.000000,-75.800000,90.000000,top
"U4","MCP3221A5T-I_OT","SOT95P280X145-5N",183.100000,-87.500000,180.000000,top
